#{"t_start": 1729732848.422208, "env_id": "None"}
r,l,t
-9.035095,29,20744.543598
3.639964,63,20795.551652
-7.5870724,54,20840.551995
-3.3127427,37,20874.234432
6.544634,75,20933.243997
12.466778,66,20986.254884
2.0714445,85,21051.912639
-15.749748,31,21081.586613
-13.382355,25,21111.596412
-4.674725,100,21187.281207
3.7145586,82,21250.942531
-10.264919,41,21287.286759
-17.288704,100,21362.963394
-12.152948,59,21411.297545
-9.540367,31,21440.976749
-8.727731,19,21462.648025
-5.747413,86,21528.998409
-7.662711,36,21561.994099
-6.300982,61,21611.674326
12.952501,99,21686.679846
-9.321323,17,21707.02013
-4.896471,32,21737.358613
11.795282,69,21792.366252
12.516115,88,21860.034018
-9.695549,45,21899.040259
2.4016342,69,21954.042135
-1.5746646,51,21997.05433
15.6682205,100,22072.722934
4.135515,56,22119.056221
-5.8550076,54,22164.072203
-9.897062,24,22189.061098
13.623098,98,22263.414249
-13.201426,44,22301.752954
-7.3385544,39,22336.751497
-5.9569573,54,22381.760473
-5.1602902,45,22420.763179
-9.459177,19,22442.418605
-12.417049,32,22472.765963
-2.306271,90,22541.778187
-11.195331,40,22577.446042
-0.15747547,54,22622.454811
0.2523489,65,22674.792693
-14.843359,48,22715.794786
-3.324685,28,22743.46171
-3.722207,66,22796.462271
-2.703855,46,22836.140781
-7.6629295,73,22893.810004
-6.138381,64,22945.485054
-9.965708,31,22975.15941
-2.6355977,38,23009.504279
-11.113887,74,23067.839587
4.3632717,70,23123.517253
-9.4319315,21,23146.516382
-8.685201,27,23173.51228
9.071469,100,23249.189548
-4.639745,44,23287.534393
2.156314,76,23349.201446
-6.836284,30,23378.215901
-3.5353956,35,23410.549209
-9.852943,22,23434.211887
6.4281654,61,23483.881026
-9.668355,25,23509.55476
-3.7832274,58,23557.229327
-5.0993266,44,23595.569809
-6.245845,48,23636.573033
-10.772089,31,23666.245002
-8.466876,44,23704.575069
-9.474536,21,23727.591581
-11.448396,39,23762.589966
-5.688212,23,23786.921162
-6.313224,90,23855.938787
-11.694628,28,23883.601661
-6.2374964,25,23909.275132
-9.579589,17,23929.609955
-8.73144,29,23957.9499
-0.8964844,38,23992.281523
-10.349374,13,24009.952393
-6.424733,33,24040.958414
-9.385639,14,24059.298115
-9.667845,26,24086.623317
-8.794754,24,24111.631327
-9.639384,40,24147.30645
-9.770031,81,24210.302828
-10.228261,39,24245.317505
-6.4985113,57,24292.326165
-4.904552,50,24334.659357
6.349165,96,24407.67259
-9.648469,17,24427.998734
-2.0510664,77,24488.353777
-9.988748,13,24506.008696
9.022649,90,24575.019504
-5.7683506,72,24632.045476
7.8671994,100,24707.718769
-2.7651854,45,24746.72167
-9.012964,47,24787.055906
-4.6462784,36,24820.067569
-3.6933904,40,24855.738018
-8.485353,18,24876.738227
30.756634,100,24952.405831
6.6555824,100,25028.083081
-4.062445,87,25095.093345
-6.1720705,26,25121.435937
-4.407179,53,25165.776319
-9.472174,16,25185.435458
-8.330219,22,25209.107446
-7.3870015,36,25242.113405
-0.42644405,86,25308.455089
-11.467156,37,25342.130763
2.296379,75,25401.14217
-9.889816,26,25427.471607
-5.6448903,48,25468.476503
-9.086406,40,25505.815749
-10.881823,24,25530.813344
-8.867156,29,25559.158814
-4.5924234,61,25608.831106
-10.9278555,51,25651.843498
-8.831485,40,25687.514467
15.960024,100,25763.19447
-10.231734,18,25784.18693
-8.09815,24,25809.192633
-10.877682,51,25852.20884
-2.1842546,54,25897.207289
-11.426056,59,25945.547097
-16.077,53,25990.888262
1.7112083,94,26062.557743
-8.0548525,33,26093.569682
-7.0300636,32,26123.903463
-1.3938751,51,26166.901939
-4.804866,40,26202.585554
16.405712,85,26268.259219
-9.542444,19,26289.926597
-4.13624,47,26330.272193
-1.3358269,62,26380.595331
-9.482129,31,26410.277564
-2.6202326,35,26442.60404
-12.160121,27,26469.622375
-10.450911,10,26485.288474
-2.4886317,46,26524.959162
-4.962905,37,26558.61534
-7.8522077,70,26614.30543
-7.566857,23,26638.627964
-8.829969,32,26668.959887
-5.9510474,37,26702.647376
0.33950424,46,26742.312129
9.0151205,100,26818.667652
-3.1043487,37,26852.332269
-9.581553,17,26873.668521
-8.593607,38,26908.013409
-7.119064,26,26934.339648
-9.999295,62,26984.690486
-1.2032785,100,27060.35874
-5.959269,40,27096.042368
-9.939447,26,27122.373325
-3.5899844,61,27172.045878
-8.165658,22,27195.70644
-9.642583,34,27227.381748
-3.0825367,45,27266.384444
12.185591,69,27321.394299
-5.745136,31,27351.069359
-6.1239166,51,27395.076258
-7.989522,23,27419.410833
-9.496939,23,27443.742941
-9.915382,21,27466.753098
-9.140574,38,27501.089081
11.43412,100,27576.759445
-7.6355305,25,27602.425924
-0.82879066,91,27672.104366
-5.7157426,32,27702.443863
-6.447239,29,27730.776984
8.861187,100,27806.469896
-10.202367,15,27825.468673
-4.7340617,36,27858.465185
-6.5874853,52,27902.142516
-9.548125,17,27922.47571
-7.8500996,29,27951.817719
4.5529585,85,28017.495318
13.858049,100,28093.16101
-23.50477,33,28125.823275
-8.9825,69,28180.834885
-11.941578,31,28212.176252
0.6161833,54,28257.184642
-5.1572785,49,28298.860669
1.036231,67,28352.534428
-13.465065,100,28428.199532
3.641409,100,28503.882782
-10.614698,27,28530.902218
2.0044842,100,28606.569296
-5.245806,46,28646.233729
-2.4541864,67,28699.914759
7.5513706,74,28758.265251
-6.1930976,38,28792.596663
-3.7825356,41,28828.931638
-4.4617305,36,28861.947268
-8.366702,49,28903.603544
-18.572235,39,28938.608473
-14.161214,67,28992.281427
7.238823,84,29057.29617
-4.0432715,100,29132.970526
2.19738,70,29188.644455
-9.055697,17,29208.989864
-9.060822,18,29229.98412
7.412897,97,29303.674436
-7.290847,39,29338.660049
-3.5860624,50,29381.010764
-3.1796632,66,29434.005692
13.542784,89,29502.348319
-6.773717,39,29537.364196
-7.0997267,65,29589.693138
12.135262,71,29646.03121
-9.749534,16,29668.031439
1.3011208,65,29720.381524
-9.41309,18,29741.373812
-11.34015,45,29780.385537
